state,date,state_new_cases_per_100000,state_new_deaths_per_100000
North Dakota,8/15/2020,17.59220259,0.169155794
Oklahoma,8/15/2020,17.09324109,0.195641166
Kansas,8/15/2020,16.79050193,0.127572487
Iowa,8/15/2020,15.97790071,0.217263239
Hawaii,8/15/2020,14.87413256,0.090511963
Nebraska,8/15/2020,14.77984692,0.118475727
Kentucky,8/15/2020,13.91357102,0.121487982
Indiana,8/15/2020,13.63913517,0.196400131
Illinois,8/15/2020,13.28997004,0.108759562
Delaware,8/15/2020,13.20493333,0.044311857
Arizona,8/15/2020,13.04143727,0.707149875
Wisconsin,8/15/2020,12.58877754,0.103206843
Maryland,8/15/2020,12.08538466,0.139483117
North Carolina,8/15/2020,12.04644568,0.218751126
Utah,8/15/2020,11.61438349,0.12653803
Virginia,8/15/2020,11.00399597,0.098953782
Minnesota,8/15/2020,10.978085,0.148513055
Alaska,8/15/2020,10.51904412,0.038744177
South Dakota,8/15/2020,10.37948263,0.097155844
Montana,8/15/2020,10.35484159,0.094134924
District of Columbia,8/15/2020,10.29044057,0.142357873
Ohio,8/15/2020,9.416311623,0.19064823
Washington,8/15/2020,8.269329601,0.147869718
New Mexico,8/15/2020,8.092448348,0.204526917
Rhode Island,8/15/2020,8.066254076,0.094579194
Michigan,8/15/2020,7.990406938,0.111712301
West Virginia,8/15/2020,7.11187815,0.229415424
Oregon,8/15/2020,6.845067721,0.105675846
Pennsylvania,8/15/2020,6.54326598,0.157279322
Wyoming,8/15/2020,6.34660177,0.04945404
Colorado,8/15/2020,6.303151014,0.097820489
Massachusetts,8/15/2020,5.149534897,0.217323619
New Jersey,8/15/2020,4.831650728,0.086059937
New York,8/15/2020,3.330519814,0.047516196
Connecticut,8/15/2020,2.307201247,0.047983388
New Hampshire,8/15/2020,1.706124122,0.042126522
Vermont,8/15/2020,1.254535431,0
Maine,8/15/2020,1.238148464,0.021347387
Northern Mariana Islands,8/15/2020,,
American Samoa,8/15/2020,,
Virgin Islands,8/15/2020,,
Guam,8/15/2020,,
Georgia,8/14/2020,31.08655952,0.619259584
Florida,8/14/2020,30.32289253,0.814244449
Idaho,8/14/2020,26.43439579,0.293172597
Mississippi,8/14/2020,26.27990152,0.932759519
Tennessee,8/14/2020,24.63807291,0.253217604
Nevada,8/14/2020,24.55657862,0.588491627
Louisiana,8/14/2020,24.49735661,0.683632902
Texas,8/14/2020,24.07460964,0.719465944
California,8/14/2020,23.93902636,0.366559231
Alabama,8/14/2020,23.404873,0.461784457
Arkansas,8/14/2020,20.63348545,0.312844025
Puerto Rico,8/14/2020,19.8604395,0.232495014
North Dakota,8/14/2020,18.7011128,0.206745971
South Carolina,8/14/2020,18.60693094,0.67998751
Missouri,8/14/2020,18.55187029,0.095604158
Oklahoma,8/14/2020,16.81789427,0.15941132
Iowa,8/14/2020,14.51590016,0.248947461
Kentucky,8/14/2020,14.39312884,0.127882087
Hawaii,8/14/2020,14.36123143,0.090511963
Kansas,8/14/2020,14.19489249,0.122665853
Nebraska,8/14/2020,13.95051684,0.118475727
Illinois,8/14/2020,13.69585624,0.123335586
Indiana,8/14/2020,13.61565254,0.192130563
Wisconsin,8/14/2020,13.41443229,0.086005703
Arizona,8/14/2020,13.28246582,0.681254246
Delaware,8/14/2020,13.21970395,0.073853095
North Carolina,8/14/2020,12.15238176,0.210496367
Maryland,8/14/2020,11.98372747,0.156031962
Utah,8/14/2020,11.75447916,0.112980384
Virginia,8/14/2020,11.66648315,0.088890685
Minnesota,8/14/2020,11.553467,0.147664409
District of Columbia,8/14/2020,10.75818787,0.101684195
South Dakota,8/14/2020,10.57379432,0.097155844
Montana,8/14/2020,10.54311144,0.147926308
Alaska,8/14/2020,10.40281159,0.038744177
Ohio,8/14/2020,9.632624038,0.161317733
Washington,8/14/2020,8.629525067,0.157348546
New Mexico,8/14/2020,8.146988859,0.190891789
Rhode Island,8/14/2020,8.066254076,0.094579194
Michigan,8/14/2020,7.508781623,0.094038415
Oregon,8/14/2020,6.742800773,0.126129236
Colorado,8/14/2020,6.631727529,0.077754748
West Virginia,8/14/2020,6.526473274,0.237326301
Pennsylvania,8/14/2020,6.362562078,0.153932953
Wyoming,8/14/2020,5.510004264,0.04945404
Massachusetts,8/14/2020,5.043977711,0.209044624
New Jersey,8/14/2020,4.975974845,0.110381223
New York,8/14/2020,3.307858244,0.048978233
Connecticut,8/14/2020,2.307201247,0.047983388
New Hampshire,8/14/2020,1.948351621,0.042126522
Vermont,8/14/2020,1.20891596,0
Maine,8/14/2020,1.067369366,0.021347387
Northern Mariana Islands,8/14/2020,,
American Samoa,8/14/2020,,
Virgin Islands,8/14/2020,,
Guam,8/14/2020,,
Georgia,8/13/2020,32.28433793,0.695309007
Florida,8/13/2020,31.35444768,0.78205027
Mississippi,8/13/2020,26.71997268,0.889709079
Idaho,8/13/2020,26.28780949,0.228023131
Alabama,8/13/2020,26.20188392,0.514392813
Tennessee,8/13/2020,25.66149406,0.267988631
Louisiana,8/13/2020,25.11661153,0.78479831
Nevada,8/13/2020,23.97750286,0.612031292
Texas,8/13/2020,23.36186302,0.702626144
Arkansas,8/13/2020,22.45840893,0.317584086
California,8/13/2020,20.45689423,0.306609643
Puerto Rico,8/13/2020,20.17341356,0.214610783
South Carolina,8/13/2020,19.98376516,0.67998751
North Dakota,8/13/2020,18.68231771,0.206745971
Missouri,8/13/2020,17.85232767,0.125917672
Oklahoma,8/13/2020,17.03527334,0.163034305
Arizona,8/13/2020,14.21869241,0.758941133
Kentucky,8/13/2020,14.16933519,0.115093878
Kansas,8/13/2020,14.06732,0.122665853
Hawaii,8/13/2020,14.05952489,0.110625732
Indiana,8/13/2020,13.9828354,0.196400131
Nebraska,8/13/2020,13.61730385,0.148094659
Illinois,8/13/2020,13.47945835,0.127820517
Wisconsin,8/13/2020,13.3357985,0.098292231
Virginia,8/13/2020,13.00655217,0.107339696
Iowa,8/13/2020,12.73705739,0.217263239
North Carolina,8/13/2020,12.41240668,0.221502713
Maryland,8/13/2020,12.18704185,0.163124323
Utah,8/13/2020,11.33871135,0.103941953
Minnesota,8/13/2020,11.08246846,0.137480656
Montana,8/13/2020,10.82551621,0.21516554
District of Columbia,8/13/2020,10.29044057,0.142357873
South Dakota,8/13/2020,10.10420774,0.113348484
Ohio,8/13/2020,9.721837633,0.167428253
Alaska,8/13/2020,9.298602536,0.038744177
Delaware,8/13/2020,8.891912599,0.088623714
Rhode Island,8/13/2020,8.498616104,0.067556567
Washington,8/13/2020,8.383075537,0.157348546
New Mexico,8/13/2020,8.276522573,0.190891789
Michigan,8/13/2020,7.43160724,0.108044136
Oregon,8/13/2020,7.076872804,0.149991524
West Virginia,8/13/2020,7.001125876,0.229415424
Colorado,8/13/2020,6.977861568,0.07524653
Pennsylvania,8/13/2020,6.311251093,0.126046549
Massachusetts,8/13/2020,5.275789571,0.204905127
Wyoming,8/13/2020,5.019585036,0.07418106
New Jersey,8/13/2020,4.639218571,0.091672541
New York,8/13/2020,3.298355005,0.035819901
Connecticut,8/13/2020,2.14725662,0.051982004
New Hampshire,8/13/2020,1.885161839,0.031594891
Maine,8/13/2020,0.960632429,0.021347387
Vermont,8/13/2020,0.889579669,0
Northern Mariana Islands,8/13/2020,,
American Samoa,8/13/2020,,
Guam,8/13/2020,,
Virgin Islands,8/13/2020,,
Georgia,8/12/2020,33.19014087,0.640987991
Florida,8/12/2020,32.30283455,0.763270332
Alabama,8/12/2020,29.612659,0.546542364
Mississippi,8/12/2020,28.36545614,0.884925697
Idaho,8/12/2020,27.90025877,0.236166814
Tennessee,8/12/2020,25.94425372,0.305971272
Louisiana,8/12/2020,25.63163542,0.797060783
Nevada,8/12/2020,24.57541035,0.4990409
Texas,8/12/2020,23.38226988,0.711336385
Arkansas,8/12/2020,22.76651289,0.303363903
California,8/12/2020,21.94660539,0.341279284
South Carolina,8/12/2020,21.0796128,0.702466436
Puerto Rico,8/12/2020,19.7754894,0.219081841
Oklahoma,8/12/2020,17.5135073,0.15941132
North Dakota,8/12/2020,17.15991556,0.225541059
Missouri,8/12/2020,17.12013973,0.132913098
Arizona,8/12/2020,14.4218735,0.826668164
Iowa,8/12/2020,14.19905794,0.239894826
Indiana,8/12/2020,13.97643105,0.168647938
Kansas,8/12/2020,13.93974751,0.122665853
North Carolina,8/12/2020,13.76618724,0.268279683
Illinois,8/12/2020,13.61288503,0.124456819
Kentucky,8/12/2020,13.4404073,0.121487982
Wisconsin,8/12/2020,13.0802387,0.100749537
Nebraska,8/12/2020,12.99530629,0.118475727
Virginia,8/12/2020,12.53190945,0.130820254
Utah,8/12/2020,12.48207284,0.108461169
Hawaii,8/12/2020,12.01797728,0.110625732
Maryland,8/12/2020,11.72131008,0.179673168
Minnesota,8/12/2020,11.51782387,0.137480656
Montana,8/12/2020,11.28274298,0.201717693
District of Columbia,8/12/2020,10.49380896,0.122021034
South Dakota,8/12/2020,10.47663847,0.161926406
Ohio,8/12/2020,9.707172384,0.168650357
Rhode Island,8/12/2020,8.755331058,0.08106788
Washington,8/12/2020,8.754645597,0.189576561
New Mexico,8/12/2020,8.521954874,0.190891789
Alaska,8/12/2020,8.349370194,0.038744177
Oregon,8/12/2020,6.967788059,0.126129236
Colorado,8/12/2020,6.940238303,0.060197224
Delaware,8/12/2020,6.92742028,0.073853095
Michigan,8/12/2020,6.854228524,0.132053944
West Virginia,8/12/2020,6.771710452,0.229415424
Pennsylvania,8/12/2020,6.103776243,0.140547479
Wyoming,8/12/2020,4.933040467,0.04945404
Massachusetts,8/12/2020,4.878397811,0.227672363
New Jersey,8/12/2020,4.187003004,0.089801673
New York,8/12/2020,3.273500379,0.031433791
Connecticut,8/12/2020,1.923334142,0.051982004
New Hampshire,8/12/2020,1.769313904,0.021063261
Vermont,8/12/2020,0.958008874,0.022809735
Maine,8/12/2020,0.811200718,0.021347387
Northern Mariana Islands,8/12/2020,,
Guam,8/12/2020,,
American Samoa,8/12/2020,,
Virgin Islands,8/12/2020,,
Georgia,8/11/2020,33.46174595,0.583950924
Florida,8/11/2020,30.49191197,0.771989589
Alabama,8/11/2020,29.66234467,0.529006245
Mississippi,8/11/2020,29.14993081,0.91362599
Idaho,8/11/2020,27.37906305,0.293172597
Louisiana,8/11/2020,26.56051779,0.80319202
Tennessee,8/11/2020,26.32196998,0.324962592
Texas,8/11/2020,25.71661458,0.742112572
Nevada,8/11/2020,25.14507025,0.560244029
Arkansas,8/11/2020,23.84250673,0.360244635
South Carolina,8/11/2020,22.31033399,0.705276301
Oklahoma,8/11/2020,19.07501364,0.188395196
California,8/11/2020,18.87364727,0.302998222
Puerto Rico,8/11/2020,18.23744546,0.223552898
North Dakota,8/11/2020,17.89292401,0.206745971
Arizona,8/11/2020,16.39790921,0.705157903
Missouri,8/11/2020,16.3646337,0.130581289
Iowa,8/11/2020,14.89158451,0.262526414
Indiana,8/11/2020,14.10451809,0.155839234
Wisconsin,8/11/2020,14.07790485,0.11057876
North Carolina,8/11/2020,13.79645469,0.243515405
Illinois,8/11/2020,13.74070554,0.139032843
Nebraska,8/11/2020,13.71356538,0.140689926
Kansas,8/11/2020,13.17921923,0.122665853
Utah,8/11/2020,12.85716771,0.12653803
Virginia,8/11/2020,12.56880747,0.167718274
Minnesota,8/11/2020,11.9073524,0.11965909
Maryland,8/11/2020,11.79459782,0.174944927
Hawaii,8/11/2020,11.71627074,0.070398193
Kentucky,8/11/2020,11.49659958,0.102305669
Montana,8/11/2020,10.62379852,0.174822001
South Dakota,8/11/2020,10.26613414,0.161926406
District of Columbia,8/11/2020,10.12774585,0.122021034
Ohio,8/11/2020,9.434643184,0.168650357
Washington,8/11/2020,9.046593502,0.183889264
Rhode Island,8/11/2020,8.958000758,0.067556567
New Mexico,8/11/2020,8.88328576,0.238614736
Delaware,8/11/2020,8.301087841,0.059082476
Alaska,8/11/2020,8.233137662,0.019372089
Colorado,8/11/2020,7.640031034,0.062705442
Michigan,8/11/2020,7.200084091,0.134054761
Oregon,8/11/2020,7.073463905,0.119311439
West Virginia,8/11/2020,6.486918891,0.181950164
Pennsylvania,8/11/2020,5.90299413,0.105968338
Wyoming,8/11/2020,5.683093403,0.04945404
Massachusetts,8/11/2020,5.182650877,0.194556383
New Jersey,8/11/2020,4.017021266,0.089801673
New York,8/11/2020,3.226715202,0.045323141
Connecticut,8/11/2020,2.2952054,0.02799031
New Hampshire,8/11/2020,1.769313904,0.01053163
Vermont,8/11/2020,0.935199139,0.022809735
Maine,8/11/2020,0.800527024,0.032021081
Northern Mariana Islands,8/11/2020,,
